momentum	learn_rate	data_size	n_neurons	acuracia
0.15	0.25	0.7	25	0.34782608695652173
0.15	0.25	0.7	25	0.32608695652173914
0.15	0.25	0.7	25	0.32608695652173914
0.15	0.25	0.7	50	0.32608695652173914
0.15	0.25	0.7	50	0.32608695652173914
0.15	0.25	0.7	50	0.32608695652173914
0.15	0.25	0.7	50	0.34782608695652173
0.15	0.25	0.7	50	0.32608695652173914
0.15	0.25	0.7	100	0.32608695652173914
0.15	0.25	0.7	100	0.32608695652173914
0.15	0.25	0.7	100	0.32608695652173914
0.25	0.1	0.5	10	0.32894736842105265
0.25	0.1	0.5	10	0.32894736842105265
0.25	0.1	0.5	10	0.32894736842105265
0.25	0.1	0.5	10	0.32894736842105265
0.25	0.1	0.5	10	0.34210526315789475
0.25	0.1	0.5	25	0.32894736842105265
0.25	0.1	0.5	25	0.34210526315789475
0.25	0.1	0.5	25	0.34210526315789475
0.25	0.1	0.5	25	0.32894736842105265
0.25	0.1	0.5	25	0.32894736842105265
0.25	0.1	0.5	50	0.34210526315789475
0.25	0.1	0.5	50	0.34210526315789475
0.25	0.1	0.5	50	0.32894736842105265
0.25	0.1	0.5	50	0.34210526315789475
0.25	0.1	0.5	50	0.32894736842105265
0.5	0.25	0.5	50	0.34210526315789475
0.5	0.25	0.5	50	0.34210526315789475
0.5	0.25	0.5	50	0.34210526315789475
0.5	0.25	0.5	50	0.32894736842105265
0.5	0.25	0.5	50	0.32894736842105265
0.5	0.25	0.5	100	0.32894736842105265
0.5	0.25	0.5	100	0.32894736842105265
0.5	0.25	0.5	100	0.32894736842105265
0.5	0.25	0.5	100	0.32894736842105265
0.5	0.25	0.5	100	0.32894736842105265
0.5	0.25	0.5	250	0.32894736842105265
0.5	0.25	0.5	250	0.32894736842105265
0.5	0.25	0.5	250	0.32894736842105265
0.5	0.25	0.5	250	0.32894736842105265
0.5	0.25	0.5	250	0.32894736842105265
0.5	0.25	0.5	500	0.32894736842105265
0.5	0.25	0.5	500	0.32894736842105265
0.5	0.25	0.5	500	0.32894736842105265
0.5	0.25	0.5	500	0.32894736842105265
0.5	0.25	0.5	500	0.32894736842105265
0.5	0.25	0.6	50	0.32786885245901637
0.5	0.25	0.6	50	0.32786885245901637
0.5	0.25	0.6	50	0.3442622950819672
0.5	0.25	0.6	50	0.32786885245901637
0.5	0.25	0.6	50	0.32786885245901637
0.5	0.25	0.6	100	0.32786885245901637momentum	learn_rate	data_size	n_neurons	acuracia
0.75	0.25	75	10	([], [])
0.75	0.25	75	10	([], [])
0.75	0.25	75	10	([], [])
0.75	0.25	75	10	([], [])
0.75	0.25	75	10	([], [])
